frame,shin.R__head_x,shin.R__head_y,shin.R__head_z,shin.R__tail_x,shin.R__tail_y,shin.R__tail_z,thigh.R__head_x,thigh.R__head_y,thigh.R__head_z,thigh.R__tail_x,thigh.R__tail_y,thigh.R__tail_z,shin.L__head_x,shin.L__head_y,shin.L__head_z,shin.L__tail_x,shin.L__tail_y,shin.L__tail_z,thigh.L__head_x,thigh.L__head_y,thigh.L__head_z,thigh.L__tail_x,thigh.L__tail_y,thigh.L__tail_z,spine.001__head_x,spine.001__head_y,spine.001__head_z,spine.001__tail_x,spine.001__tail_y,spine.001__tail_z,upper_arm.R__head_x,upper_arm.R__head_y,upper_arm.R__head_z,upper_arm.R__tail_x,upper_arm.R__tail_y,upper_arm.R__tail_z,forearm.R__head_x,forearm.R__head_y,forearm.R__head_z,forearm.R__tail_x,forearm.R__tail_y,forearm.R__tail_z,upper_arm.L__head_x,upper_arm.L__head_y,upper_arm.L__head_z,upper_arm.L__tail_x,upper_arm.L__tail_y,upper_arm.L__tail_z,forearm.L__head_x,forearm.L__head_y,forearm.L__head_z,forearm.L__tail_x,forearm.L__tail_y,forearm.L__tail_z
130,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
131,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
132,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
133,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
134,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
135,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
136,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
137,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
138,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
139,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
140,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
141,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
142,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
143,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
144,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
145,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
146,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
147,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
148,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
149,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
150,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
151,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
152,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
153,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
154,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
155,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
156,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
157,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
158,-0.11999999731779099,0.0,0.09999999403953552,-0.11999999731779099,0.0,0.02698805183172226,-0.11999999731779099,0.0,0.20000000298023224,-0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.09999999403953552,0.11999999731779099,0.0,0.02698805183172226,0.11999999731779099,0.0,0.20000000298023224,0.11999999731779099,0.0,0.09999999403953552,0.0,0.0,0.375,0.0,0.0,0.550000011920929,-0.20000003278255463,-1.862645149230957e-09,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.3400000333786011,7.450577932388569e-10,0.48000001907348633,-0.46000003814697266,7.450580152834618e-10,0.48000001907348633,0.20000000298023224,3.725290298461914e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.3400000035762787,2.6822091214739885e-09,0.48000001907348633,0.46000000834465027,2.6822091214739885e-09,0.48000001907348633
